plot_id,study_site,plot_location,age_class,fallow_years,stems_ha,basal_area_m2_ha,agb_mg_ha,agc_mg_ha
P030,KHFR_surroundings,Community fallow land,young_secondary,8,598,10.1,13.51,6.35
P031,KHFR_surroundings,Community fallow land,old_secondary,12,536,21.13,52.09,24.48
P032,KHFR_surroundings,Community fallow land,farmbush,3,452,3.61,1.2,0.57
P033,KHFR_surroundings,Community fallow land,young_secondary,5,794,9.43,19.08,8.97
P034,KHFR_surroundings,Community fallow land,old_secondary,10,520,23.58,36.11,16.97
P035,KHFR_surroundings,Community fallow land,farmbush,3,407,1.78,1.68,0.79
P036,KHFR_surroundings,Community fallow land,young_secondary,5,655,11.38,19.96,9.38
P037,KHFR_surroundings,Community fallow land,old_secondary,10,562,20.49,13.8,6.49
P038,KHFR_surroundings,Community fallow land,farmbush,4,419,2.24,1.64,0.77
P039,KHFR_surroundings,Community fallow land,young_secondary,8,532,7.07,21.3,10.01
P040,KHFR_surroundings,Community fallow land,old_secondary,15,475,16.44,55.15,25.92
P041,BHFR_surroundings,Community fallow land,farmbush,3,438,1.68,2.26,1.06
P042,BHFR_surroundings,Community fallow land,young_secondary,6,580,11.54,8.19,3.85
P043,BHFR_surroundings,Community fallow land,old_secondary,10,639,18.98,65.35,30.71
P044,BHFR_surroundings,Community fallow land,farmbush,3,447,2.69,0.92,0.43
P045,BHFR_surroundings,Community fallow land,young_secondary,6,688,5.63,21.4,10.06
P046,BHFR_surroundings,Community fallow land,old_secondary,12,577,23.37,46.63,21.92
P047,BHFR_surroundings,Community fallow land,farmbush,2,313,2.33,2.22,1.04
P048,BHFR_surroundings,Community fallow land,young_secondary,6,802,9.06,14.47,6.8
P049,BHFR_surroundings,Community fallow land,old_secondary,12,360,19.12,33.32,15.66
P050,BHFR_surroundings,Community fallow land,farmbush,3,490,3.04,1.79,0.84
P051,BHFR_surroundings,Community fallow land,young_secondary,7,457,9.4,20.07,9.43
P052,BHFR_surroundings,Community fallow land,old_secondary,12,556,19.81,45.15,21.22
P053,BHFR_surroundings,Community fallow land,farmbush,3,427,3.82,1.5,0.7
P054,BHFR_surroundings,Community fallow land,young_secondary,6,647,12.43,16.72,7.86
P055,BHFR_surroundings,Community fallow land,old_secondary,10,533,25.53,43.26,20.33
P056,BHFR_surroundings,Community fallow land,farmbush,2,546,2.9,1.89,0.89
P057,BHFR_surroundings,Community fallow land,young_secondary,7,711,10.69,14.13,6.64
P058,BHFR_surroundings,Community fallow land,old_secondary,16,538,11.96,34.41,16.17
P059,BHFR_surroundings,Community fallow land,farmbush,4,494,2.25,2.39,1.12
P060,BHFR_surroundings,Community fallow land,young_secondary,7,637,7.21,16.31,7.67
P061,BHFR_surroundings,Community fallow land,old_secondary,13,553,12.81,37.92,17.82
P062,BHFR_surroundings,Community fallow land,farmbush,2,464,2.13,2.13,1.0
P063,BHFR_surroundings,Community fallow land,young_secondary,8,624,8.17,15.78,7.41
P064,BHFR_surroundings,Community fallow land,old_secondary,15,546,15.51,51.32,24.12
P065,BHFR_surroundings,Community fallow land,farmbush,2,261,4.84,2.17,1.02
P066,BHFR_surroundings,Community fallow land,young_secondary,8,568,8.8,16.7,7.85
P067,BHFR_surroundings,Community fallow land,old_secondary,11,722,17.97,61.12,28.73
P068,BHFR_surroundings,Community fallow land,farmbush,2,378,3.12,1.75,0.82
P069,BHFR_surroundings,Community fallow land,young_secondary,7,548,9.64,10.51,4.94
P070,BHFR_surroundings,Community fallow land,old_secondary,15,700,10.63,42.33,19.89
